Title,Description,Link,Location,Rooms,Total area,This floor/Number of floors,Built in year,Condition,Ownership,Cadastre no.,Energy mark,Lisainfo,Kitchen,Sanitary arrangements,Heating and ventilation,Communications and security,Neighbourhood,Data from realestate book,Register number,Notify about incorrect advertisement,Kulud suvel/talvel,Number of floors,Additional information
"Apartment for sale, 3 rooms, Tartu mnt, Kesklinn, Tallinn, Harjumaa - Real estate portal KV.EE ","<strong>Lisainfo:</strong> furniture, packet windows, parquet, lift, box-room, wall cupboard, new electricity, high ceilings, TV-set, separate rooms, furnishing possibility ",https://www.kv.ee/korteris-on-kehtiv-hindamisakt-muua-eksklusiivne-3-3385850.html,"59.4251374,24.7808777",3,75.5 m²,4/8,1930,Good condition,,78401:116:0190,F,,,"shower, new sewerage, toilet room and bathroom separate, sauna, bath, washing machine","heated floors, central heating","Internet, cable TV, video cameras, steel door, frontdoor locked, neighbourhood watch",,,,,100 € /  200 €,,
"Apartment for sale, 2 rooms, Lasnamäe tn 32, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/muuki-saabub-armas-2-toaline-korter-kumu-juures-ko-3392781.html,"59.4334326,24.7927191",2,39 m²,2/4,,,apartment ownership,78403:301:2070,-,packet windows,"ceramic shove, refridgerator, kitchen furniture",bath,central heating,"frontdoor locked, neighbourhood watch, steel door",,Data from realestate book,,,50 € /  100 €,,
"Apartment for sale, 2 rooms, Majaka tn 33, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-heas-korras-valguskullane-2toaline-korter-sik-3392777.html,"59.4286867,24.7934977",2,43 m²,2/5,1987,renovated,apartment ownership,78403:301:0033,D,"parking free parking, box-room, separate rooms, furnishing possibility, furniture, packet windows, parquet","gas stove, open kitchen, refridgerator, kitchen furniture","shower, water boiler, washing machine",central heating,"Internet, cable TV, neighbourhood watch, frontdoor locked, steel door","location in the center location, neighbours around neighbours, roads in good condition roads, surrounding buildings apartment buildings",,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Lokuti tee 8, Lokuti, Saku vald, Harjumaa - Real estate portal KV.EE ","<strong>Lisainfo:</strong> furnishing possibility, furniture, parking free parking, box-room, wall cupboard, new electricity, separate rooms ",https://www.kv.ee/harjumaa-saku-vald-lokuti-lokuti-tee-8-2-tuba-22-4-3392776.html,"59.2814767,24.7452718",2,44 m²,2/2,1970,Good condition,,71801:006:0083,-,,,"new sewerage, shower, water boiler, washing machine","õhksoojuspump, stove heating, heated floors, conditioner",steel door,"surrounding buildings private houses and apartment buildings, location outside settlement location, roads in good condition roads, neighbours around neighbours, water body river 1,000 m",Data from realestate book,,,,,
"Apartment for sale, 3 rooms, Uueristi tn 5, Nõmme, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-3toaline-korter-jarve-keskuse-naabruses-loodu-3392773.html,"59.3920478,24.7169697",3,57.9 m²,5/5,1974,Good condition,apartment ownership,78404:402:5300,D,"parking free parking, basement, furniture, packet windows, parquet, wall cupboard, new electricity, closed courtyard","ceramic shove, open kitchen, refridgerator, kitchen furniture","new sewerage, bath, toilet room and bathroom separate, washing machine",central heating,"Internet, cable TV, steel door, frontdoor locked, neighbourhood watch","surrounding buildings private houses and apartment buildings, roads in good condition roads",,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Kari tn 17, Põhja-Tallinn, Tallinn, Harjumaa - Real estate portal KV.EE ",Stone house,https://www.kv.ee/neljas-korruskorralik-uhistustroomi-rand-ja-meri-2-3392771.html,"59.4462479,24.690495",2,52 m²,4/9,1981,satisfactory,,78408:805:2280,-,"balcony 3 m², packet windows, lift, closed balcony, separate rooms","gas stove, kitchen 9 m², refridgerator, kitchen furniture","shower, washing machine",central heating,"Internet, cable TV, frontdoor locked, steel door",Stroomi sea 250 m,Data from realestate book,,,,,
"Apartment for sale, 2 rooms, Sõpruse pst 242, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ",Panel house,https://www.kv.ee/harjumaa-tallinn-mustamae-mustamae-sopruse-pst-242-3390162.html,"59.3996683,24.6850513",2,43.4 m²,6/9,1968,renovated,,78405:501:2955,E,"parking free parking, packet windows, parquet, lift, closed balcony, new electricity, separate rooms, furnishing possibility, furniture","electric stove, open kitchen, refridgerator, kitchen furniture","new sewerage, shower, bath, washing machine","heated floors, central heating","Internet, phone, cable TV, steel door, frontdoor locked, neighbourhood watch","in the city location, roads in good condition roads",Data from realestate book,,,,,
"Apartment for sale, 3 rooms, Kivila tn 1, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/kortermuua-renoveerimist-vajav-3toaline-korter-kor-3388631.html,"59.445887,24.8654759",3,65.2 m²,2/16,1986,needs renovating,apartment ownership,78403:310:0021,Missing,"parking free parking, furniture, packet windows, parquet, lift, closed balcony, wall cupboard, separate rooms, furnishing possibility","electric stove, refridgerator, kitchen furniture","toilet room and bathroom separate, shower, bath, washing machine",central heating,"Internet, phone, cable TV, steel door, frontdoor locked, neighbourhood watch, video cameras","in the city location, roads in good condition roads",,,,,,
"Apartment for sale, 3 rooms, Pae tn 49, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/kortermuugile-on-tulnud-3toaline-korter-heas-seisu-3388256.html,"59.4362966,24.8185757",3,65.8 m²,2/9,1978,renovated,apartment ownership,78403:312:0750,E,"parking free parking, separate rooms, packet windows, parquet, lift, box-room","electric stove, refridgerator, kitchen furniture","new sewerage, shower, bath, toilet room and bathroom separate, washing machine",central heating,"Internet, phone, cable TV, steel door, frontdoor locked, neighbourhood watch","in the city location, roads in good condition roads",,,,,,
"Apartment for sale, 4 rooms, Ümera tn 11, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/kortermuua-ruumikas-ja-hea-planeeringuga-labi-maja-3386043.html,"59.4435744,24.892777",4,79.6 m²,4/9,1986,needs renovating,apartment ownership,78403:309:0009,F,"parking free parking, separate rooms, packet windows, parquet, lift, wall cupboard","electric stove, kitchen furniture","toilet room and bathroom separate, shower, bath, washing machine",central heating,"Internet, phone, cable TV, steel door, frontdoor locked, neighbourhood watch","in the city location, roads in good condition roads",,,,,,
"Apartment for sale, 3 rooms, Läänemere tee 22, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/harjumaa-tallinn-lasnamae-lasnamae-laanemere-tee-2-3390733.html,"59.4522857,24.8724858",3,66.6 m²,4/5,1989,renovated,apartment ownership,78403:307:0580,D,"parking free parking, furniture, packet windows, parquet, closed balcony, box-room, wall cupboard, new electricity, separate rooms","electric stove, kitchen furniture","toilet room and bathroom separate, new sewerage, washing machine",central heating,"Internet, phone, cable TV, steel door, frontdoor locked, neighbourhood watch","in the city location, roads in good condition roads",,,,,,
"Apartment for sale, 2 rooms, Pirita tee 26c/1, Kadriorg, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muugile-on-tulnud-suureparane-ja-kvaliteetselt-vii-3365748.html,"59.4466513,24.8063555",2,79.9 m²,3/4,2011,renovated,apartment ownership,,C,"parking free parking, furniture, packet windows, parquet, lift, closed balcony, garage, underground garage, box-room, wall cupboard, new electricity, high ceilings, closed courtyard, TV-set, separate rooms, furnishing possibility","electric stove, open kitchen, refridgerator, kitchen furniture","new sewerage, bath, shower, washing machine","heated floors, central heating","Internet, phone, cable TV, steel door, frontdoor locked, neighbourhood watch","in the city location, roads in good condition roads, Tallinna laht sea 1 m",Data from realestate book,,,,,
"Apartment for sale, 3 rooms, Pärnade pst 26, Nõmme, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/kortermuua-3toaline-soe-ja-valguskullane-korter-no-3387734.html,"59.3562701,24.6256249",3,48.8 m²,1/2,1988,renovated,apartment ownership,78404:410:1780,Missing,"box-room, wall cupboard, new electricity, closed courtyard, separate rooms, furnishing possibility, furniture, parquet, packet windows, parking free parking","electric stove, refridgerator, kitchen furniture","new sewerage, water boiler, shower, bath, washing machine","stove heating, electric heating","Internet, phone, cable TV, steel door, neighbourhood watch","in the city location, roads in good condition roads",,,,,,
"Apartment for sale, 1 rooms, E. Vilde tee 132, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muugile-on-tulnud-varskelt-renoveeritud-korter-kor-3389682.html,"59.4036084,24.6617317",1,29.8 m²,1/5,1965,renovated,apartment ownership,78405:501:3680,D,"parking free parking, new electricity, furniture, packet windows, parquet, box-room","electric stove, refridgerator, kitchen furniture","new sewerage, shower, washing machine","heated floors, central heating","Internet, phone, cable TV, steel door, frontdoor locked, neighbourhood watch","in the city location, roads in good condition roads",,,,,,
"Apartment for sale, 3 rooms, Asunduse tn 7, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/kortermuugile-on-tulnud-4toaline-korter-sikupillis-3386039.html,"59.4322905,24.7907589",3,51.4 m²,4/5,1987,needs renovating,apartment ownership,78403:301:1210,E,"parking free parking, separate rooms, packet windows, parquet, closed balcony, box-room, new electricity","electric stove, open kitchen, refridgerator, kitchen furniture","bath, shower, washing machine",central heating,"Internet, phone, cable TV, steel door, frontdoor locked, neighbourhood watch","roads in good condition roads, in the city location",,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Vana-Vaida tee 8, Vaida, Rae vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-tartu-mnt-aares-vaidas-2toaline-korter-majama-3392114.html,"59.2865107,24.9737091",2,33.7 m²,2/2,1976,sanitary renovation needed,apartment ownership,65303:003:0325,-,box-room,,"shower, water boiler",õhksoojuspump,"neighbourhood watch, steel door, frontdoor locked",,,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Helme tn 7a, Põhja-Tallinn, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-2toaline-korter-tallinnas-helme-tanaval-korte-3392760.html,"59.4378254,24.7008966",2,49.7 m²,1/5,2009,Good condition,apartment ownership,78408:803:0092,C,"balcony 11.7 m², parking free parking, separate rooms, furnishing possibility, furniture, packet windows, parquet, lift, box-room, wall cupboard, closed courtyard, TV-set","ceramic shove, open kitchen, refridgerator, kitchen furniture","shower, washing machine",central heating,"Internet, cable TV, steel door, security system, frontdoor locked","surrounding buildings apartment buildings, in the city location, Stroomi rand sea",,,Notify about incorrect advertisement,,,
"Apartment for sale, 3 rooms, Õismäe tee 40, Haabersti, Tallinn, Harjumaa - Real estate portal KV.EE ","Private ownership, panel house",https://www.kv.ee/kortermuua-avar-3toaline-korter-oismael-mille-uldp-3392741.html,"59.411915,24.6499508",3,65.8 m²,8/9,1974,renovated,private property,78406:603:1453,D,"balcony 5 m², furnishing possibility, packet windows, lift, closed balcony","electric stove, refridgerator, kitchen furniture","toilet room and bathroom separate, washing machine",central heating,"Internet, cable TV",,,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, E. Vilde tee 141, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/korter-on-kahepoolne-ilma-remondita-taielik-varske-3392758.html,"59.4015386,24.6615689",2,39.7 m²,1/4,1964,,apartment ownership,78405:501:0009,E,"box-room, parking free parking, furnishing possibility, furniture, packet windows","gas stove, kitchen 5 m², refridgerator, kitchen furniture","new sewerage, bath",central heating,"Internet, cable TV, steel door, neighbourhood watch, frontdoor locked","roads in good condition roads, in the city location",,,,55 € /  105 €,,
"Apartment for sale, 2 rooms, Vana-Kuuli 15/2, Lasnamäe, Tallinn, Harjumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/muugile-lisandus-hea-sisuga-ja-kompaktne-2toaline-3392756.html,"59.444123002658,24.828208658197",2,34.6 m²,2/8,2015,all brand-new,apartment ownership,78403:304:0061,B,"kitchen, parking free parking, box-room, public transport, urban water, parquet, dressing room, ventilation, lift","induktsioon pliit, open kitchen, refridgerator",shower,"heated floors, central heating","cable TV, frontdoor locked, neighbourhood watch",,,,,,,
"Apartment for sale, 3 rooms, Maleva tn 31, Ahtme, Kohtla-Järve, Ida-Virumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/id-00144teie-kone-suunatakse-omanikule-kui-helista-3392751.html,"59.3324106,27.4141692",3,63 m²,7/9,1988,renovated,apartment ownership,32205:001:0039,Missing,,,,central heating,,,,,,,,
"Apartment for sale, 3 rooms, Arkna tee 50, Roodevälja, Rakvere vald, Lääne-Virumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/korterkorteris-on-tehtud-kaasaegne-ja-maitsekas-re-3392750.html,"59.3695341,26.3803946",3,52.2 m²,2/2,1953,,apartment ownership,77004:001:0030,Missing,"packet windows, new electricity, furnishing possibility","refridgerator, kitchen furniture","shower, water boiler, washing machine",electric heating,"Internet, steel door",,Data from realestate book,,,,,
"Apartment for sale, 2 rooms, Pärnu mnt 106, Kesklinn, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-saunaga-2toaline-korter-kesklinna-piirkonnas-3391228.html,"59.4157485,24.739406",2,57.5 m²,8/8,1991,Good condition,apartment ownership,78401:118:0070,D,"parking free parking, high ceilings, closed courtyard, roof apartment, packet windows, parquet, lift","electric stove, open kitchen, refridgerator","water boiler, sauna","central heating, gas heating","steel door, frontdoor locked","in the city location, neighbours at one side neighbours",,,Notify about incorrect advertisement,,,
"Apartment for sale, 3 rooms, Sõpruse pst 196, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/planeering-ja-viimistluskorter-koosneb-esik-kook-v-3392738.html,"59.4081355,24.7010503",3,60.1 m²,7/9,1970,,apartment ownership,,E,"kitchen, urban water, public transport, parquet, lift, electricity, street entrance",,"toilet room and bathroom separate, bath",central heating,"Internet, cable TV, neighbourhood watch",,Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Kalda tee 16, Annelinn, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-kompaktne-kahe-eraldi-asetseva-toaga-korter-e-3389186.html,"58.3736995,26.7591875",2,37.3 m²,1/5,1974,Good condition,apartment ownership,79516:024:0004,-,"box-room, separate rooms, parquet, packet windows, furniture, furnishing possibility","electric stove, refridgerator, kitchen furniture","toilet room and bathroom separate, bath, washing machine",central heating,frontdoor locked,"water body: Anne kanal 500 m, location in the center location, roads in good condition roads, neighbours around neighbours, surrounding buildings apartment buildings",,,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, Aiandi tn 9/3, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/muua-2-toaline-korter-novembris-2022-uusmustamae-a-3392735.html,"59.4120079,24.6821296",2,44.3 m²,2/8,2022,all brand-new,apartment ownership,,B,"balcony 3.5 m², box-room, furniture, packet windows, parquet, lift, parking free parking","induktsioon pliit, open kitchen, refridgerator, kitchen furniture",shower,"central heating, heated floors","Internet, phone, cable TV",,Data from realestate book,,,,,
"Apartment for sale, 4 rooms, Weizenbergi 14, Kadriorg, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, log house",https://www.kv.ee/muuki-on-tulnud-korgelt-hinnatud-kadrioru-miljoova-3392727.html,"59.4385532,24.7826023",4,171.3 m²,2/3,,ready,apartment ownership,,Missing,"organisation through the few floors, urban water, gas",electric stove,new sewerage,,frontdoor locked,,Data from realestate book,,Notify about incorrect advertisement,,,
"Apartment for sale, 3 rooms, Narva mnt 45, Jõhvi linn, Jõhvi vald, Ida-Virumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/id-00143teie-kone-suunatakse-omanikule-kui-helista-3392726.html,"59.3613755,27.4350675",3,56.7 m²,5/5,,renovated,apartment ownership,25301:009:0006,Missing,,,,central heating,,,Data from realestate book,,,,,
"Apartment for sale, 2 rooms, Mustamäe tee 191, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house",https://www.kv.ee/muua-soe-paikesepoolne-hea-asukohaga-2toaline-kort-3392723.html,"59.4028198,24.6808436",2,43.2 m²,3/9,1969,needs renovating,apartment ownership,78405:501:0028,,"balcony 4 m², parking free parking, TV-set, separate rooms, lift","electric stove, refridgerator","toilet room and bathroom separate, bath",central heating,"Internet, phone, cable TV, steel door, neighbourhood watch, video cameras, frontdoor locked","roads in good condition roads, surrounding buildings apartment buildings, in the city location, neighbours around neighbours",Data from realestate book,19470701,Notify about incorrect advertisement,,,
"Apartment for sale, 2 rooms, E. Vilde tee 91, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house",https://www.kv.ee/kortermuua-avar-ja-valguskullane-2toaline-korter-e-3392709.html,"59.404522,24.6777538",2,45.3 m²,5/5,1964,renovated,apartment ownership,78405:501:0210,-,"parking free parking, new electricity, separate rooms, packet windows, parquet","electric stove, kitchen furniture","shower, new sewerage, washing machine",central heating,"Internet, phone, cable TV, steel door, frontdoor locked, neighbourhood watch","location in the center location, roads in good condition roads",,,Notify about incorrect advertisement,,,
"Apartment for sale, 3 rooms, Mustamäe tee 141, Mustamäe, Tallinn, Harjumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/66-90ehitusaasta1970korruste-arv9estonianpowered-b-3378636.html,"59.412205,24.6926856",3,66.9 m²,,1970,Good condition,apartment ownership,78405:503:1052,-,"balcony 1 m², TV-set, furniture, packet windows, parquet, lift",,,,,,,,,,9,
"Apartment for sale, 1 rooms, Haigla, Maardu, Harjumaa - Real estate portal KV.EE ",Apartment ownership,https://www.kv.ee/asukoht-ja-umbrus-muua-renoveerimist-vajav-korter-3392707.html,"59.4764518,25.0216956",1,22 m²,,1977,needs renovating,apartment ownership,44603:003:0056,E,"parking free parking, public transport, urban water, furniture","open kitchen, refridgerator, kitchen furniture","bath, new sewerage, washing machine",central heating,"video cameras, neighbourhood watch, frontdoor locked","surrounding buildings apartment buildings, in the city location",,,,,5,
