Title,Description,Link,Location,Price,Rooms,Total area,Number of floors,Condition,Readiness,Ground area,Cadastre no.,Energy mark,Lisainfo,Neighbourhood,Bedrooms,Built in year,Ownership,Notify about incorrect advertisement,Kitchen,Sanitary arrangements,Heating and ventilation,Communications and security,Data from realestate book,Register number,Additional information,This floor/Number of floors,Kulud suvel/talvel
"House for sale, Uuetoa, Valaste, Toila vald, Ida-Virumaa - Real estate portal KV.EE ","Private ownership, log house, house area 80 m², total area 120 m²",https://www.kv.ee/otse-omanikult-talumaja-saun-korvalhoone-lagunev-v-2042709.html,"59.4410773326078,27.3535844606357",50000,3,120 m²,1,sanitary renovation needed,ready,10092 m²,,,,"roads in good condition roads, near forest, neighbours farther neighbours, Soome laht sea 600 m, surrounding buildings private houses, location outside settlement location",,1920,private property,Notify about incorrect advertisement,"stove heated with firewood, kitchen 20 m²","sauna, local water",stove heating,fenced with garden,Data from realestate book,,"farm building, public transport, deep well, box-room, electricity, 3*380V, packet windows, wall wooden wall, roof asbestos cement roof",,
"Farmhouse for sale, Käre, Setomaa vald, Võrumaa - Real estate portal KV.EE ","Private ownership, log house, house area 48 m², total area 158 m²",https://www.kv.ee/voopsu-7-kmrapina-10-kmvarska-14-kmpolva-30-kmvoru-3393637.html,"58.0365677797414,27.5018524817067",74900,1,158 m²,1,renovated,ready,6841 m²,73201:001:1563,,"packet windows, farm building, well, electricity, wall wooden wall, roof profiled roof",near forest,,,private property,Notify about incorrect advertisement,,sauna,,,Data from realestate book,,,,
"House for sale, 1 bedrooms, Vimpli tee 2, Suurupi, Harku vald, Harjumaa - Real estate portal KV.EE ","Frame house, total area 1,047 m²",https://www.kv.ee/muua-mereaarses-suurupi-kulas-ilusasti-kujundatud-3393614.html,"59.463811,24.389458",259000,3,1047 m²,2,renovated,,1047 m²,19803:003:0010,Missing,"open kitchen, dressing room, furniture, garage, basement",,1,,,,kitchen furniture,"toilet room and bathroom separate, sauna, bath, water boiler, shower, washing machine","heated floors, electric heating, stove heating, fireplace",,,,,,
"House for sale, 3 bedrooms, Veski 6, Suure-Jaani linn, Põhja-Sakala vald, Viljandimaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 110 m²",https://www.kv.ee/kliendipaev-eelregistreerimisega-kliendipaev-toimu-3389368.html,"58.5266551,25.4627804",98000,4,110 m²,1,,,2354 m²,76001:006:0120,Missing,"kitchen, 3*380V, farm building, separate rooms, separate entryway, deep well, closed courtyard, garage, electricity, furniture, dressing room, roof tin roof",,3,,private property,,"stove heated with firewood, kitchen 10.4 m², refridgerator","water boiler, shower, toilet room and bathroom separate, local water","õhksoojuspump, stove heating, fireplace, fireplace","security system, neighbourhood watch, fenced with garden, video cameras",,,,,
"House for sale, 3 bedrooms, Karupõllu, Tõdva, Saku vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 166.3 m²",https://www.kv.ee/muua-pooleliolev-kivimaja-ehitis-asukohaga-saku-va-3171352.html,"59.259668801782,24.7107740257812",159000,4,166.3 m²,2,all brand-new,roofed box,,,-,"well, electricity, packet windows, garage","neighbours next to neighbours, surrounding buildings private houses, near forest, roads in good condition roads",3,2018,private property,Notify about incorrect advertisement,,"sauna, local water","heated floors, geothermic heating",,Data from realestate book,,,,
"House for sale, Sillaotsa, Saula, Kose vald, Harjumaa - Real estate portal KV.EE ","Private ownership, log house, total area 242.1 m²",https://www.kv.ee/muua-tore-maja-kose-vallas-muuakse-kogu-sisustuseg-3393571.html,"59.2209379,25.0460322",595000,,242.1 m²,2,ready,,13334 m²,33701:002:0389,,"balcony , open kitchen, separate entryway, water, 3*380V, furnishing possibility, furniture, electricity, show case windows, public transport, well, deep well, high ceilings, roof tin roof",near forest,,2008,private property,Notify about incorrect advertisement,"ceramic shove, refridgerator, kitchen furniture","shower, toilet room and bathroom separate, water boiler, local water","heated floors, fireplace, geothermic heating",security system,,7741202,,,
"House for sale, Raudtee 22, Paide linn, Paide, Järvamaa - Real estate portal KV.EE ","Private ownership, stone house, house area 170 m², total area 180 m²",https://www.kv.ee/muua-maja-koos-garaazi-ja-korvalhoonega-1273939.html,"58.8861618,25.5416443",109000,5,180 m²,2,needs renovating,ready,770 m²,,-,"garage, wall brick wall, roof tin roof",,,1977,private property,Notify about incorrect advertisement,,"bath, water boiler, sewerage, urban water",õhksoojuspump,,Data from realestate book,,,,
"House for sale, 3 bedrooms, Tedre tee, Muraste, Harku vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 203.6 m²",https://www.kv.ee/muua-heas-korras-maja-aiaga-piiritletud-privaatses-3393527.html,"59.4613257,24.4459714",330000,5,203.6 m²,2,,,1164 m²,19805:007:6130,,"balcony , parking free parking",,3,2009,private property,Notify about incorrect advertisement,,"water boiler, bath, sauna, shower",heated floors,"Internet, security system, steel door",,,,,
"House for sale, 33 bedrooms, Pärnu tn 56, Paide linn, Paide, Järvamaa - Real estate portal KV.EE ","Private ownership, stone house, total area 1,350 m²",https://www.kv.ee/muua-maja-paide-linnasudames-sobilik-uurimajaks-vo-3372160.html,"58.8861716,25.5575102",130100,31,1350 m²,3,needs renovating,box with doors and windows,,,E,,"location in the center location, roads in good condition roads, neighbours around neighbours, surrounding buildings apartment buildings",33,1955,private property,Notify about incorrect advertisement,,"shower, urban water, sewerage",central heating,"Internet, phone, cable TV",Data from realestate book,357836,"basement, 3*380V, packet windows, electricity, public transport, box-room, parking free parking, wall brick wall, roof asbestos cement roof",,
"House for sale, Rohuneeme tee 67a, Pringi, Viimsi vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 91.6 m²",https://www.kv.ee/planeeringu-jargi-avatud-koogiga-elutuba-kaks-tuba-3393481.html,"59.538182488578,24.793616427485",280000,3,91.6 m²,,ready,,1004 m²,,Missing,"kitchen, open kitchen, electricity, parking free parking, closed courtyard, 3*380V",roads paved roads,,,private property,,kitchen furniture,"sewerage, urban water","stove heating, conditioner","Internet, fenced with garden",Data from realestate book,,,1/1,
"House for sale, 3 bedrooms, Talve tee 16, Üksnurme, Saku vald, Harjumaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 156 m²",https://www.kv.ee/muua-hubaselt-kena-ja-armas-kodu-saku-valla-kaunim-3393478.html,"59.2813829,24.651727",275000,4,156 m²,1,Good condition,ready,,,Missing,"parquet, deep well, terrace, electricity, dressing room, 3*380V, furnishing possibility, furniture, packet windows",,3,2008,private property,Notify about incorrect advertisement,"ceramic shove, refridgerator, kitchen furniture","shower, bath, water boiler, washing machine, urban water, sewerage","õhksoojuspump, electric heating, heated floors, combined heating, fireplace","neighbourhood watch, fenced with garden",Data from realestate book,,,,
"House for sale, 2 bedrooms, Kivivõhma 32, Krei, Kose vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house",https://www.kv.ee/harjumaa-kose-vald-krei-hea-pakkumine-kivivohma-32-3393475.html,"59.2153999,25.1346999",38000,3,,,needs renovating,ready,,33701:003:0021,Missing,terrace,,2,,private property,,,,,,,,,1/1,
"House for sale, 3 bedrooms, Paide mnt 41, Paikuse, Pärnu, Pärnumaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 128 m²",https://www.kv.ee/elamu-on-kahekordne-ja-sobib-ideaalselt-elamiseks-3390049.html,"58.381223,24.6325534",240000,5,128 m²,2,Good condition,ready,,,-,"parking free parking, wall cupboard, terrace, electricity, dressing room, furniture, packet windows, garage, farm building, box-room","neighbours around neighbours, surrounding buildings private houses, location in the center location, Pärnu jõgi river 1,000 m, roads in good condition roads",3,1930,private property,Notify about incorrect advertisement,"ceramic shove, kitchen furniture","water boiler, sauna, shower, urban water, sewerage","heated floors, stove heating, õhksoojuspump, solid fuel, electric heating, conditioner, combined heating, fireplace","Internet, phone, cable TV, steel door, fenced with garden",Data from realestate book,886606,,,
"House for sale, 2 bedrooms, Raudtee 7, Raasiku, Raasiku vald, Harjumaa - Real estate portal KV.EE ","Private ownership, log house, total area 184 m²",https://www.kv.ee/krundile-on-ehitatud-varem-kinnitatud-projekti-jar-3393460.html,"59.3642387,25.1826479",105000,3,184 m²,2,needs renovating,,1182 m²,,,"public transport, farm building, box-room, closed courtyard, roof asbestos cement roof",near forest,2,1967,private property,Notify about incorrect advertisement,stove heated with firewood,"water boiler, sauna, urban water",stove heating,"video cameras, neighbourhood watch, fenced with garden",Data from realestate book,,,,
"House for sale, Rohuneeme tee 67b, Pringi, Viimsi vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 124.4 m²",https://www.kv.ee/muua-2korruseline-maja-mereaarsel-kinnistul-maja-u-3393439.html,"59.538219124038,24.793479940192",445000,4,124.4 m²,,ready,,1149 m²,89001:003:0924,,"balcony 11.1 m², balcony , kitchen, open kitchen, farm building, parquet, terrace, closed courtyard",roads paved roads,,2017,private property,Notify about incorrect advertisement,"electric stove, refridgerator, kitchen furniture","water boiler, bath, shower, sewerage, urban water","stove heating, central heating, conditioner, fireplace","Internet, fenced with garden",,,,2/2,
"House for sale, 4 bedrooms, Ristiku 31, Variku, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, stone house, total area 129 m²",https://www.kv.ee/uuenduskolmapaeval-24-novembril-toimus-2-korruse-l-3393424.html,"58.3493122,26.7093069",323000,5,129 m²,2,all brand-new,,1146 m²,,,"balcony , parking free parking, box-room",,4,2022,apartment ownership,Notify about incorrect advertisement,"electric stove, kitchen 7.3 m²",,õhksoojuspump,,Data from realestate book,,,,
"House for sale, 4 bedrooms, Maikellukese tn 11, Alliku, Saue vald, Harjumaa - Real estate portal KV.EE ","Private ownership, wooden house, house area 166.1 m², total area 174.3 m²",https://www.kv.ee/muua-uus-kvaliteetne-maja-laagri-korval-asuvas-ves-3385966.html,"59.3584977179684,24.5942982952454",435000,5,174.3 m²,1,all brand-new,ready,,,A,"box-room, terrace, electricity, dressing room, packet windows, parquet, parking free parking, public transport","near forest, water body river near, surrounding buildings private houses, roads in good condition roads, neighbours around neighbours",4,2021,private property,Notify about incorrect advertisement,,"toilet room and bathroom separate, sauna, shower, urban water, sewerage","heated floors, geothermic heating","Internet, cable TV, steel door",Data from realestate book,,,,
"House for sale, Tarakvere, Mustvee vald, Jõgevamaa - Real estate portal KV.EE ","Private ownership, house area 52.8 m², total area 139 m²",https://www.kv.ee/muua-armas-suure-potentsiaaliga-majapidamine-tarak-3377951.html,"58.7819079694,26.7736631159668",44900,,139 m²,1,needs renovating,ready,10852 m²,71301:001:0023,,"well, electricity","water body Tarakvere paisjärv near, near forest, roads in good condition roads",,1959,private property,Notify about incorrect advertisement,,,stove heating,,Data from realestate book,,,,
"Farmhouse for sale, Puka, Otepää vald, Valgamaa - Real estate portal KV.EE ",Total area 337 m²,https://www.kv.ee/muua-suur-krunt-puka-aleviku-kulje-all-ruuna-kulas-3377690.html,"58.050706696561,26.2356260005859",27900,,337 m²,1,needs renovating,,19148 m²,60802:002:0370,-,"farm building, well, basement","near forest, roads in good condition roads",,1911,,,,local water,,,,157040,,,
"House for sale, 1 bedrooms, Võõpsu mnt 45, Räpina linn, Räpina vald, Põlvamaa - Real estate portal KV.EE ","Private ownership, total area 2,282 m²",https://www.kv.ee/rapina-linnas-muua-kahest-katastriuksusest-koosnev-3358809.html,"58.0960139,27.4689651",32000,2,2282 m²,1,needs renovating,ready,,,-,"public transport, farm building, well, electricity, furniture",,1,1917,private property,Notify about incorrect advertisement,,"sauna, sewerage, urban water",stove heating,,Data from realestate book,1784738,,,
"House for sale, Lao 7, Põlva linn, Põlva vald, Põlvamaa - Real estate portal KV.EE ","Private ownership, stone house, house area 264.7 m², total area 1,465 m²",https://www.kv.ee/muua-hea-asukohaga-kortermaja-arenduseks-sobilik-k-2789374.html,"58.0662698,27.0933487",39000,,1465 m²,2,needs renovating,ready,1465 m²,62101:001:0024,-,"public transport, farm building, box-room, basement, electricity, parking free parking","roads in good condition roads, neighbours at one side neighbours, Põlva paisjärv lake",,,private property,,,"urban water, sewerage",central heating,,,,,,
"House for sale, Jaama, Suure-Jaani linn, Põhja-Sakala vald, Viljandimaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 104.7 m²",https://www.kv.ee/muua-kahekorruseline-elamu-suurejaanis-elamu-sulet-3393402.html,"58.536160655219,25.477064642385",58000,4,104.7 m²,2,ready,,995 m²,76001:002:0230,,"electricity, parking free parking, closed courtyard",roads paved roads,,1971,private property,Notify about incorrect advertisement,stove heated with firewood,"shower, sewerage, urban water","stove heating, conditioner","phone, neighbourhood watch, fenced with garden",,,,,
"House for sale, Nurme tn 28, Kose, Kose vald, Harjumaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 88 m²",https://www.kv.ee/perspektiivne-kinnistu-kose-aleviku-keskuses-ootab-3393378.html,"59.1821146,25.1713234",82000,2,88 m²,2,needs renovating,,1200 m²,33702:003:1450,,,,,1972,private property,Notify about incorrect advertisement,,water boiler,stove heating,,,,,,
"House for sale, 2 bedrooms, Jõeoti tn 43, Haabersti, Tallinn, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 180 m²",https://www.kv.ee/kliendipaev-sel-reedel-10-12-kell-15-0017-00-ja-la-3393377.html,"59.4450943,24.5827654",750000,3,180 m²,2,,,955 m²,78406:611:0064,,,,2,2014,private property,,,"bath, sauna, shower",,"Internet, steel door, security system",,,,,
"House for sale, 3 bedrooms, Künnapuu tn 16, Pirita, Tallinn, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 132.5 m²",https://www.kv.ee/harjumaa-tallinn-pirita-maarjamae-kunnapuu-tn-16-5-3393374.html,"59.4544306,24.8209913",425000,5,132.5 m²,2,needs renovating,,1067 m²,,-,"parking free parking, public transport, basement, electricity","neighbours next to neighbours, Tallinna laht sea , near forest, location in suburb location, roads in good condition roads",3,1962,private property,Notify about incorrect advertisement,,"shower, urban water",stove heating,neighbourhood watch,Data from realestate book,,,,
"House for sale, 3 bedrooms, Meeri, Nõo vald, Tartumaa - Real estate portal KV.EE ","Private ownership, stone house, house area 145.9 m², total area 219 m²",https://www.kv.ee/uusi-omanikke-ootab-looduskaunis-meeri-kulas-armas-3393373.html,,,5,219 m²,3,renovated,ready,,,Missing,"balcony 31.9 m², electricity, furnishing possibility, packet windows, garage, parquet, farm building, well, terrace","neighbours around neighbours, near forest, surrounding buildings private houses, location in suburb location, roads in good condition roads, Elva Jõgi river 100 m",3,1996,private property,Notify about incorrect advertisement,"electric stove, refridgerator, kitchen furniture","water boiler, sauna, shower, local water","solid fuel, combined heating, fireplace",Internet,Data from realestate book,,,,
"House for sale, 3 bedrooms, Tööstuse, Võnnu, Kastre vald, Tartumaa - Real estate portal KV.EE ","Private ownership, log house, total area 132.5 m²",https://www.kv.ee/muua-suure-aiaga-maakodu-tartu-linnast-vaid-25-km-3393368.html,"58.286224584365,27.05065430636",95000,4,132.5 m²,1,ready,,2004 m²,,,"electricity, furnishing possibility, farm building, box-room, garret, closed courtyard, public transport, garage, roof tin roof",water body lake near,3,1937,private property,Notify about incorrect advertisement,electric stove,"water boiler, sauna, shower, local water",stove heating,"cable TV, fenced with garden",Data from realestate book,,,,
"Cottage for sale, 3 bedrooms, Aida tee 59, Kloogaranna, Lääne-Harju vald, Harjumaa - Real estate portal KV.EE ","Private ownership, wooden house, house area 67.1 m², total area 67.1 m²",https://www.kv.ee/asukoht-on-merelahedal-asuvas-kloogaranna-piirkonn-3391914.html,"59.33832,24.2153163",104900,3,67.1 m²,2,Good condition,ready,,,Missing,"balcony 4 m², parking free parking, wall cupboard, terrace, electricity, dressing room, furnishing possibility, furniture, packet windows, garage, public transport","in the city location, near forest, neighbours around neighbours, Klooga rand sea 300 m, roads in good condition roads, surrounding buildings private houses",3,1987,private property,Notify about incorrect advertisement,"gas stove, refridgerator, kitchen furniture","shower, toilet room and bathroom separate, water boiler, sauna, urban water, pool, washing machine","electric heating, stove heating, combined heating, fireplace","neighbourhood watch, fenced with garden",Data from realestate book,6787102,,,
"House for sale, 2 bedrooms, Haapsalu mnt 28, Vana-Pärnu, Pärnu linn, Pärnu, Pärnumaa - Real estate portal KV.EE ","Private ownership, wooden house, house area 110 m², total area 110 m²",https://www.kv.ee/parnus-on-muugile-tulnud-maja-mis-on-voimalik-oma-3337236.html,"58.3885929,24.4756052",89900,3,110 m²,1,satisfactory,ready,,,Missing,"garage, parking free parking",,2,1900,private property,Notify about incorrect advertisement,,"sauna, shower, water boiler, toilet room and bathroom separate, urban water","heated floors, stove heating",,Data from realestate book,759305,,,
"House for sale, Kalda tn 3, Tõstamaa, Pärnu, Pärnumaa - Real estate portal KV.EE ","Log house, total area 82.5 m²",https://www.kv.ee/sojaeelne-vesiveski-tostamaa-alevikus-tostamaa-joe-3393288.html,"58.3304626,23.9986186",18500,4,82.5 m²,1,needs renovating,ready,889 m²,62401:001:1363,,"wall wooden wall, roof asbestos cement roof",,,,,Notify about incorrect advertisement,,,,,,19079650,,,
"House for sale, 3 bedrooms, Jaarli 7, Tutermaa, Harku vald, Harjumaa - Real estate portal KV.EE ","Wooden house, house area 119 m², total area 119.9 m²",https://www.kv.ee/pildid-on-illustratiivsed-antud-hoonel-puudub-auto-3371112.html,,,4,119.9 m²,1,all brand-new,ready,2000 m²,,,,,3,2021,,Notify about incorrect advertisement,,"toilet room and bathroom separate, sauna, shower, water boiler, urban water, sewerage","heated floors, õhksoojuspump",,Data from realestate book,,"parquet, 3*380V, packet windows, box-room, terrace, electricity, wall wooden wall, roof tin roof",,
"House for sale, Käpa 43, Pangodi, Kambja vald, Tartumaa - Real estate portal KV.EE ","Private ownership, wooden house, house area 45.9 m², total area 119.7 m²",https://www.kv.ee/muuki-on-tulnud-tartust-ca-25-km-kaugusel-endises-3393291.html,"58.1870026,26.5916375",60000,2,119.7 m²,1,satisfactory,,1054 m²,28201:005:0042,,"well, box-room, electricity, 3*380V, garage, furniture","neighbours next to neighbours, surrounding buildings private houses, roads in good condition roads, Pangodi lake 1,000 m",,1985,private property,Notify about incorrect advertisement,,"sauna, shower, water boiler, local water, washing machine",,,Data from realestate book,,,,
"House for sale, Huulheina tee 20, Maardu, Harjumaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 173.5 m²",https://www.kv.ee/majapuitkarkass-maja-i-korrus-kaetud-klombitud-kiv-3373559.html,"59.476826159377,24.945364954246",360000,5,173.5 m²,2,ready,,850 m²,44601:003:0076,,"balcony , balcony , balcony , kitchen, open kitchen, parking free parking, box-room, furnishing possibility, electricity, terrace, closed courtyard, public transport, parquet, 3*380V",roads paved roads,,2006,private property,Notify about incorrect advertisement,"electric stove, refridgerator, kitchen furniture","bath, water boiler, shower, toilet room and bathroom separate, sauna, sewerage, pool, urban water","conditioner, fireplace",fenced with garden,,,,,
"House for sale, Laatre, Mulgi vald, Viljandimaa - Real estate portal KV.EE ","Log house, total area 99 m²",https://www.kv.ee/muugile-on-tulnud-privaatses-ja-ilusas-looduskauni-3393269.html,"57.995468940744,25.2770664869828",22800,4,99 m²,,needs renovating,ready,5234 m²,10501:005:0760,-,"electricity, farm building, box-room, basement, wall wooden wall","water body lake near, near forest",,,,,stove heated with firewood,,stove heating,,Data from realestate book,,,,
"House for sale, 5 bedrooms, Tüve tn 2, Muraste, Harku vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 279.6 m²",https://www.kv.ee/muua-1670m-suuruse-kinnistuga-eramu-muraste-pangap-3365197.html,"59.4623492,24.4502117",485000,6,279.6 m²,2,Good condition,ready,,,-,,"surrounding buildings private houses, roads in good condition roads, neighbours around neighbours, water body sea near",5,2008,private property,Notify about incorrect advertisement,"gas stove, kitchen 24.4 m², refridgerator, kitchen furniture","shower, toilet room and bathroom separate, sauna, bath, urban water, sewerage, washing machine","õhksoojuspump, heated floors, combined heating, fireplace","Internet, phone, cable TV, steel door, video cameras, fenced with garden, security system",Data from realestate book,10484002,"parking free parking, wall cupboard, terrace, electricity, dressing room, furnishing possibility, packet windows, parquet, garage, public transport, farm building, box-room",,
"House for sale, 2 bedrooms, Kuusiku tee 13, Laulasmaa, Lääne-Harju vald, Harjumaa - Real estate portal KV.EE ","Private ownership, total area 134.5 m²",https://www.kv.ee/muua-stiilne-kivimaja-laulasmaal-maja-valmib-kevad-3393281.html,"59.3603034,24.2636562",349000,4,134.5 m²,1,all brand-new,,4065 m²,29501:007:1159,,"balcony , open kitchen, terrace, public transport, well, separate entryway, terrace, separate rooms, show case windows, water, street entrance, parquet, 3*380V, electricity, roof tiled roof","near forest, water body sea near",2,,private property,Notify about incorrect advertisement,,"toilet room and bathroom separate, sauna, shower","õhksoojuspump, heated floors",,Data from realestate book,,,,
"House for sale, 3 bedrooms, Koidu tn, Tila, Tartu vald, Tartumaa - Real estate portal KV.EE ","Private ownership, total area 185 m²",https://www.kv.ee/muua-kahekordne-eramaja-kinnistul-asub-ka-abihoone-3392834.html,"58.4122909,26.763888",375000,5,185 m²,2,Good condition,ready,,,-,"terrace, electricity, dressing room, furniture, parquet, packet windows, garage, parking free parking, public transport, farm building, box-room, wall cupboard, TV-set, wall brick wall, roof tiled roof","water body: tiik 300 m, surrounding buildings private houses, roads paved roads, neighbours next to neighbours",3,2011,private property,Notify about incorrect advertisement,"electric stove, refridgerator, kitchen furniture","shower, sauna, bath, water boiler, urban water, sewerage, washing machine","õhksoojuspump, heated floors, electric heating, stove heating","Internet, cable TV, neighbourhood watch, security system, fenced with garden, steel door",Data from realestate book,2836704,,,
