,Title,Description,Link,Location,Price,Rooms,Total area,Number of floors,Condition,Readiness,Ground area,Cadastre no.,Energy mark,Lisainfo,Neighbourhood,Bedrooms,Built in year,Ownership,Notify about incorrect advertisement,Kitchen,Sanitary arrangements,Heating and ventilation,Communications and security,Data from realestate book,Register number,Additional information,This floor/Number of floors,Kulud suvel/talvel,population
30,"House for sale, Lao 7, Põlva linn, Põlva vald, Põlvamaa - Real estate portal KV.EE ","Private ownership, stone house, house area 264.7 m², total area 1,465 m²",https://www.kv.ee/muua-hea-asukohaga-kortermaja-arenduseks-sobilik-k-2789374.html,"58.0662698,27.0933487",39000.0,,1465 m²,2.0,needs renovating,ready,1465 m²,62101:001:0024,-,"public transport, farm building, box-room, basement, electricity, parking free parking","roads in good condition roads, neighbours at one side neighbours, Põlva paisjärv lake",,,private property,,,"urban water, sewerage",central heating,,,,,,,821.0
31,"House for sale, Jaama, Suure-Jaani linn, Põhja-Sakala vald, Viljandimaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 104.7 m²",https://www.kv.ee/muua-kahekorruseline-elamu-suurejaanis-elamu-sulet-3393402.html,"58.536160655219,25.477064642385",58000.0,4.0,104.7 m²,2.0,ready,,995 m²,76001:002:0230,,"electricity, parking free parking, closed courtyard",roads paved roads,,1971.0,private property,Notify about incorrect advertisement,stove heated with firewood,"shower, sewerage, urban water","stove heating, conditioner","phone, neighbourhood watch, fenced with garden",,,,,,98.0
32,"House for sale, Nurme tn 28, Kose, Kose vald, Harjumaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 88 m²",https://www.kv.ee/perspektiivne-kinnistu-kose-aleviku-keskuses-ootab-3393378.html,"59.1821146,25.1713234",82000.0,2.0,88 m²,2.0,needs renovating,,1200 m²,33702:003:1450,,,,,1972.0,private property,Notify about incorrect advertisement,,water boiler,stove heating,,,,,,,462.0
33,"House for sale, 2 bedrooms, Jõeoti tn 43, Haabersti, Tallinn, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 180 m²",https://www.kv.ee/kliendipaev-sel-reedel-10-12-kell-15-0017-00-ja-la-3393377.html,"59.4450943,24.5827654",750000.0,3.0,180 m²,2.0,,,955 m²,78406:611:0064,,,,2.0,2014.0,private property,,,"bath, sauna, shower",,"Internet, steel door, security system",,,,,,645.0
34,"House for sale, 3 bedrooms, Künnapuu tn 16, Pirita, Tallinn, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 132.5 m²",https://www.kv.ee/harjumaa-tallinn-pirita-maarjamae-kunnapuu-tn-16-5-3393374.html,"59.4544306,24.8209913",425000.0,5.0,132.5 m²,2.0,needs renovating,,1067 m²,,-,"parking free parking, public transport, basement, electricity","neighbours next to neighbours, Tallinna laht sea , near forest, location in suburb location, roads in good condition roads",3.0,1962.0,private property,Notify about incorrect advertisement,,"shower, urban water",stove heating,neighbourhood watch,Data from realestate book,,,,,479.0
35,"House for sale, 3 bedrooms, Meeri, Nõo vald, Tartumaa - Real estate portal KV.EE ","Private ownership, stone house, house area 145.9 m², total area 219 m²",https://www.kv.ee/uusi-omanikke-ootab-looduskaunis-meeri-kulas-armas-3393373.html,,,5.0,219 m²,3.0,renovated,ready,,,Missing,"balcony 31.9 m², electricity, furnishing possibility, packet windows, garage, parquet, farm building, well, terrace","neighbours around neighbours, near forest, surrounding buildings private houses, location in suburb location, roads in good condition roads, Elva Jõgi river 100 m",3.0,1996.0,private property,Notify about incorrect advertisement,"electric stove, refridgerator, kitchen furniture","water boiler, sauna, shower, local water","solid fuel, combined heating, fireplace",Internet,Data from realestate book,,,,,0.0
36,"House for sale, 3 bedrooms, Tööstuse, Võnnu, Kastre vald, Tartumaa - Real estate portal KV.EE ","Private ownership, log house, total area 132.5 m²",https://www.kv.ee/muua-suure-aiaga-maakodu-tartu-linnast-vaid-25-km-3393368.html,"58.286224584365,27.05065430636",95000.0,4.0,132.5 m²,1.0,ready,,2004 m²,,,"electricity, furnishing possibility, farm building, box-room, garret, closed courtyard, public transport, garage, roof tin roof",water body lake near,3.0,1937.0,private property,Notify about incorrect advertisement,electric stove,"water boiler, sauna, shower, local water",stove heating,"cable TV, fenced with garden",Data from realestate book,,,,,250.0
37,"Cottage for sale, 3 bedrooms, Aida tee 59, Kloogaranna, Lääne-Harju vald, Harjumaa - Real estate portal KV.EE ","Private ownership, wooden house, house area 67.1 m², total area 67.1 m²",https://www.kv.ee/asukoht-on-merelahedal-asuvas-kloogaranna-piirkonn-3391914.html,"59.33832,24.2153163",104900.0,3.0,67.1 m²,2.0,Good condition,ready,,,Missing,"balcony 4 m², parking free parking, wall cupboard, terrace, electricity, dressing room, furnishing possibility, furniture, packet windows, garage, public transport","in the city location, near forest, neighbours around neighbours, Klooga rand sea 300 m, roads in good condition roads, surrounding buildings private houses",3.0,1987.0,private property,Notify about incorrect advertisement,"gas stove, refridgerator, kitchen furniture","shower, toilet room and bathroom separate, water boiler, sauna, urban water, pool, washing machine","electric heating, stove heating, combined heating, fireplace","neighbourhood watch, fenced with garden",Data from realestate book,6787102.0,,,,4.0
38,"House for sale, 2 bedrooms, Haapsalu mnt 28, Vana-Pärnu, Pärnu linn, Pärnu, Pärnumaa - Real estate portal KV.EE ","Private ownership, wooden house, house area 110 m², total area 110 m²",https://www.kv.ee/parnus-on-muugile-tulnud-maja-mis-on-voimalik-oma-3337236.html,"58.3885929,24.4756052",89900.0,3.0,110 m²,1.0,satisfactory,ready,,,Missing,"garage, parking free parking",,2.0,1900.0,private property,Notify about incorrect advertisement,,"sauna, shower, water boiler, toilet room and bathroom separate, urban water","heated floors, stove heating",,Data from realestate book,759305.0,,,,2560.0
39,"House for sale, Kalda tn 3, Tõstamaa, Pärnu, Pärnumaa - Real estate portal KV.EE ","Log house, total area 82.5 m²",https://www.kv.ee/sojaeelne-vesiveski-tostamaa-alevikus-tostamaa-joe-3393288.html,"58.3304626,23.9986186",18500.0,4.0,82.5 m²,1.0,needs renovating,ready,889 m²,62401:001:1363,,"wall wooden wall, roof asbestos cement roof",,,,,Notify about incorrect advertisement,,,,,,19079650.0,,,,156.0
40,"House for sale, 3 bedrooms, Jaarli 7, Tutermaa, Harku vald, Harjumaa - Real estate portal KV.EE ","Wooden house, house area 119 m², total area 119.9 m²",https://www.kv.ee/pildid-on-illustratiivsed-antud-hoonel-puudub-auto-3371112.html,,,4.0,119.9 m²,1.0,all brand-new,ready,2000 m²,,,,,3.0,2021.0,,Notify about incorrect advertisement,,"toilet room and bathroom separate, sauna, shower, water boiler, urban water, sewerage","heated floors, õhksoojuspump",,Data from realestate book,,"parquet, 3*380V, packet windows, box-room, terrace, electricity, wall wooden wall, roof tin roof",,,0.0
41,"House for sale, Käpa 43, Pangodi, Kambja vald, Tartumaa - Real estate portal KV.EE ","Private ownership, wooden house, house area 45.9 m², total area 119.7 m²",https://www.kv.ee/muuki-on-tulnud-tartust-ca-25-km-kaugusel-endises-3393291.html,"58.1870026,26.5916375",60000.0,2.0,119.7 m²,1.0,satisfactory,,1054 m²,28201:005:0042,,"well, box-room, electricity, 3*380V, garage, furniture","neighbours next to neighbours, surrounding buildings private houses, roads in good condition roads, Pangodi lake 1,000 m",,1985.0,private property,Notify about incorrect advertisement,,"sauna, shower, water boiler, local water, washing machine",,,Data from realestate book,,,,,19.0
42,"House for sale, Huulheina tee 20, Maardu, Harjumaa - Real estate portal KV.EE ","Private ownership, wooden house, total area 173.5 m²",https://www.kv.ee/majapuitkarkass-maja-i-korrus-kaetud-klombitud-kiv-3373559.html,"59.476826159377,24.945364954246",360000.0,5.0,173.5 m²,2.0,ready,,850 m²,44601:003:0076,,"balcony , balcony , balcony , kitchen, open kitchen, parking free parking, box-room, furnishing possibility, electricity, terrace, closed courtyard, public transport, parquet, 3*380V",roads paved roads,,2006.0,private property,Notify about incorrect advertisement,"electric stove, refridgerator, kitchen furniture","bath, water boiler, shower, toilet room and bathroom separate, sauna, sewerage, pool, urban water","conditioner, fireplace",fenced with garden,,,,,,257.0
43,"House for sale, Laatre, Mulgi vald, Viljandimaa - Real estate portal KV.EE ","Log house, total area 99 m²",https://www.kv.ee/muugile-on-tulnud-privaatses-ja-ilusas-looduskauni-3393269.html,"57.995468940744,25.2770664869828",22800.0,4.0,99 m²,,needs renovating,ready,5234 m²,10501:005:0760,-,"electricity, farm building, box-room, basement, wall wooden wall","water body lake near, near forest",,,,,stove heated with firewood,,stove heating,,Data from realestate book,,,,,4.0
44,"House for sale, 5 bedrooms, Tüve tn 2, Muraste, Harku vald, Harjumaa - Real estate portal KV.EE ","Private ownership, stone house, total area 279.6 m²",https://www.kv.ee/muua-1670m-suuruse-kinnistuga-eramu-muraste-pangap-3365197.html,"59.4623492,24.4502117",485000.0,6.0,279.6 m²,2.0,Good condition,ready,,,-,,"surrounding buildings private houses, roads in good condition roads, neighbours around neighbours, water body sea near",5.0,2008.0,private property,Notify about incorrect advertisement,"gas stove, kitchen 24.4 m², refridgerator, kitchen furniture","shower, toilet room and bathroom separate, sauna, bath, urban water, sewerage, washing machine","õhksoojuspump, heated floors, combined heating, fireplace","Internet, phone, cable TV, steel door, video cameras, fenced with garden, security system",Data from realestate book,10484002.0,"parking free parking, wall cupboard, terrace, electricity, dressing room, furnishing possibility, packet windows, parquet, garage, public transport, farm building, box-room",,,444.0
