Title,Description,Link,Location,Price,Rooms,Bedrooms,Total area,Number of floors,Built in year,Condition,Ownership,Ground area,Data from realestate book,Notify about incorrect advertisement,Lisainfo,Sanitary arrangements,Heating and ventilation,Communications and security,Kitchen,Cadastre no.,Energy mark,Readiness,Register number,Neighbourhood,This floor/Number of floors,Kulud suvel/talvel,Additional information
"Row house box for sale, 4 bedrooms, Aiandi tee 11, Annelinn, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, panel house, total area 226.8 m²",https://www.kv.ee/kui-otsite-enda-perele-suuremat-ridaelamu-boksi-mi-3377915.html,"58.3741726,26.7857296",179000,5,4,226.8 m²,2,1995,satisfactory,apartment ownership,,Data from realestate book,Notify about incorrect advertisement,"balcony 5.5 m², furniture, packet windows, parquet, garage, parking free parking, public transport, box-room, basement, electricity, dressing room, furnishing possibility, other wall, roof tar paper roof","sauna, shower, water boiler, urban water, sewerage, washing machine",central heating,"Internet, phone, cable TV","electric stove, refridgerator, kitchen furniture",,,ready,,,,,
"Maisonette for sale, Marguse-Mõisa, Tammiste, Elva vald, Tartumaa - Real estate portal KV.EE ","Apartment ownership, wooden house, total area 118.1 m²",https://www.kv.ee/nbspmuuki-on-tulnud-armas-majaosa-elva-lahistel-nb-3373092.html,"58.185626687309,26.314900802799",75000,5,,118.1 m²,2,1939,renovated,apartment ownership,4666 m²,,,"new sewerage, kitchen, furnishing possibility, high ceilings, farm building, separate entryway, parking free parking, well","water boiler, shower, local water","stove heating, electric heating",,"stove heated with firewood, refridgerator, kitchen furniture",,Missing,,,roads gravel roads,,,
"Row house box for sale, 4 bedrooms, Jasmiini tee 4, Viimsi, Viimsi vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, wooden house, total area 103.8 m²",https://www.kv.ee/majade-ehitusel-on-arvestatud-perede-kaasaegsetest-3392977.html,"59.4981863,24.8459347",339000,5,4,103.8 m²,2,2021,,apartment ownership,89.4 m²,,Notify about incorrect advertisement,"new sewerage, open kitchen, electricity, parquet, dressing room, ventilation, parking free parking, box-room, separate rooms, separate entryway, organisation through the few floors, new electricity, public transport","toilet room and bathroom separate, bath, shower, sauna, urban water",õhksoojuspump,"fenced with garden, steel door",,89001:010:3339,,,,near forest,,,
"Maisonette for sale, 3 bedrooms, Roosipõõsa tee 18, Rae, Rae vald, Harjumaa - Real estate portal KV.EE ","Joint ownership, stone house, total area 91.1 m²",https://www.kv.ee/asukohtroosipoosa-tee-majaosa-asub-rae-vallas-rae-3393336.html,"59.3868655,24.8549489",255000,4,3,91.1 m²,2,2008,ready,joint ownership,750 m²,Data from realestate book,Notify about incorrect advertisement,"new sewerage, balcony , kitchen, open kitchen, dressing room, ventilation, separate rooms, separate entryway, organisation through the few floors, new electricity, closed courtyard, public transport, farm building, electricity, TV-set, furniture, parquet, roof tin roof","bath, shower, sauna, washing machine, urban water","gas heating, gas","Internet, phone, cable TV, fenced with garden, security system","electric stove, refridgerator",,,,,,,,
"Maisonette for sale, 3 bedrooms, PAEHEINA TEE 24, Lubja, Viimsi vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house, house area 128.9 m², total area 163 m²",https://www.kv.ee/a-energiaklassi-paarismaja-labimoeldud-arhitektuur-3357913.html,"59.5119344,24.8421459",300000,4,3,163 m²,2,2021,all brand-new,apartment ownership,,Data from realestate book,Notify about incorrect advertisement,"parking free parking, box-room, terrace, electricity, dressing room, packet windows, parquet","sauna, bath, toilet room and bathroom separate, shower, urban water, sewerage","heated floors, õhksoojuspump","Internet, security system, fenced with garden",electric stove,,A,ready,19622850,"location in the center location, roads in good condition roads, neighbours next to neighbours, water body sea near, near forest, surrounding buildings private houses and apartment buildings",,70 € /  130 €,
"Maisonette for sale, 3 bedrooms, Pihlaka tn 1, Tabasalu, Harku vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house, total area 181.9 m²",https://www.kv.ee/muua-hubane-ja-valguskullane-ridaelamu-boks-vaikse-3392368.html,"59.425328,24.55902",286000,7,3,181.9 m²,3,1994,Good condition,apartment ownership,,,Notify about incorrect advertisement,"new sewerage, balcony 3 m², open kitchen, water, electricity, dressing room, separate rooms, furniture, packet windows, garage, 3*380V, public transport, cloak room, box-room, wall cupboard, new electricity, high ceilings, organisation through the few floors, basement, street entrance, parking free parking, distance from Tallinn 1 km, wall brick wall, roof tiled roof","toilet room and bathroom separate, sauna, bath, water boiler, pool, washing machine, urban water, sewerage","stove heating, solid fuel, gas, fireplace, combined heating","Internet, phone, cable TV, security system, neighbourhood watch","electric stove, refridgerator, kitchen furniture",19801:002:1691,,,,water body sea near,,,
"Maisonette for sale, 3 bedrooms, Paelille tee 3, Pirita, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house, house area 128.9 m², total area 128.9 m²",https://www.kv.ee/paarismajad-valmivad-detsembris-2021-akokku-kerkib-3375556.html,"59.5106947,24.8425165",335000,4,3,128.9 m²,2,,all brand-new,apartment ownership,111 m²,,,"balcony 9.4 m², parking free parking, electricity, dressing room, packet windows, parquet, box-room, terrace","toilet room and bathroom separate, shower, bath, sauna, urban water, sewerage","õhksoojuspump, heated floors","Internet, steel door, neighbourhood watch",electric stove,,A,,,"roads in good condition roads, neighbours around neighbours, surrounding buildings private houses",,,
"Row house box for sale, 2 bedrooms, Suurekivi tee 2, Liivamäe, Jõelähtme vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house, total area 118.3 m²",https://www.kv.ee/ridaelamuboks-liivamae-kulas-joelahtme-vallas-harj-3387387.html,"59.4423277,24.9640745",210000,4,2,118.3 m²,2,2006,,apartment ownership,390 m²,,,"balcony , kitchen, open kitchen, parquet, parking free parking, box-room, wall cupboard, separate rooms, separate entryway, organisation through the few floors, high ceilings, public transport","toilet room and bathroom separate, shower, bath, urban water","heated floors, fireplace, fireplace","Internet, fenced with garden, security system, steel door",electric stove,,Missing,,,near forest,,,
"Row house box for sale, 2 bedrooms, Tamme-põik, Tammelinn, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, stone house, total area 99 m²",https://www.kv.ee/kena-kodu-vaga-vaikses-ja-rahulikus-tammelinna-pii-3364766.html,"58.357182,26.6954253",185000,3,2,99 m²,3,,ready,apartment ownership,,Data from realestate book,Notify about incorrect advertisement,"new sewerage, open kitchen, dressing room, parking free parking, street entrance, public transport, wall cupboard, new electricity, organisation through the few floors, separate entryway, closed courtyard, parquet, furnishing possibility, basement","water boiler, shower, toilet room and bathroom separate, bath","central heating, heated floors","Internet, fenced with garden, security system, neighbourhood watch","electric stove, refridgerator, kitchen furniture",,,,,,,,
"Maisonette for sale, 3 bedrooms, Kannikese tee 12, Viimsi, Viimsi vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house, total area 244.6 m²",https://www.kv.ee/korraliku-maja-mootu-korter-on-sajandivahetuse-pai-3372721.html,"59.50123,24.8420593",350000,5,3,244.6 m²,3,1999,renovated,apartment ownership,,,,"balcony , kitchen, open kitchen, parking free parking, box-room, separate rooms, organisation through the few floors, closed courtyard, public transport, garage, dressing room, frontdoor locked, roof tiled roof","toilet room and bathroom separate, sauna, shower, water boiler, urban water","õhksoojuspump, electric heating, fireplace, fireplace","Internet, cable TV, fenced with garden",refridgerator,,Missing,,,,,,
"Row house box for sale, Mõisavälja 9, Rakvere, Lääne-Virumaa - Real estate portal KV.EE ","Apartment ownership, stone house, total area 76.8 m²",https://www.kv.ee/ridaelamuboks-on-kvaliteetse-siseviimistluse-ja-ma-3191057.html,"59.3548811,26.3461869",119000,2,,76.8 m²,,2015,Good condition,apartment ownership,,Data from realestate book,Notify about incorrect advertisement,,"sauna, shower, water boiler, urban water, sewerage","heated floors, combined heating","Internet, fenced with garden, steel door, security system",,66301:027:0022,,ready,,"roads in good condition roads, neighbours at one side neighbours, surrounding buildings private houses and apartment buildings, location in the center location",1/1,40 € /  120 €,"box-room, terrace, electricity, dressing room, furniture, parquet, packet windows, parking free parking, roof tar paper roof"
"Maisonette for sale, 3 bedrooms, Paelille tee 3, Lubja, Viimsi vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house, house area 128.9 m², total area 128.9 m²",https://www.kv.ee/paarismajad-valmivad-2021-aasta-lopus-kokku-kerkib-3351344.html,"59.5106947,24.8425165",335000,4,3,128.9 m²,,2021,all brand-new,apartment ownership,111 m²,,Notify about incorrect advertisement,"balcony 9.4 m², parking free parking, electricity, dressing room, packet windows, parquet, box-room, terrace","toilet room and bathroom separate, shower, bath, sauna, urban water, sewerage","õhksoojuspump, heated floors","Internet, steel door, fenced with garden",electric stove,,,,,"roads in good condition roads, neighbours around neighbours, surrounding buildings private houses",2/2,,
"Row house box for sale, 3 bedrooms, Järvepõllu tee 4, Peetri, Rae vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house, house area 124.9 m², total area 137 m²",https://www.kv.ee/muua-vaga-heas-asukohas-rohelises-ja-rahulikus-elu-3362649.html,"59.4108457,24.7375915",365000,4,3,137 m²,2,2022,all brand-new,apartment ownership,,Data from realestate book,Notify about incorrect advertisement,"parquet, parking free parking, public transport, box-room, TV-set, terrace, electricity, dressing room","shower, bath, toilet room and bathroom separate, urban water, sewerage","õhksoojuspump, heated floors","Internet, phone, cable TV, steel door",electric stove,,A,ready,19753750,"surrounding buildings private houses and apartment buildings, location in the center location, roads in good condition roads, neighbours around neighbours, Ülemiste lake",,,
"Row house box for sale, 3 bedrooms, Tähepaju tee 9, Oru, Kose vald, Harjumaa - Real estate portal KV.EE ",Total area 88 m²,https://www.kv.ee/muua-peagi-valmiv-avar-ja-valguskullane-ridaelamub-3384074.html,"59.1963109,24.9866903",189900,4,3,88 m²,2,2010,Good condition,,1004 m²,Data from realestate book,Notify about incorrect advertisement,"TV-set, electricity, dressing room, furniture, packet windows, parking free parking, public transport","bath, local water","heated floors, õhksoojuspump",,,,-,ready,,,,,
"Maisonette for sale, 3 bedrooms, Keskuse tee 9/2, Vahi alevik, Tartu vald, Tartumaa - Real estate portal KV.EE ","Apartment ownership, stone house, total area 109.9 m²",https://www.kv.ee/muugile-on-joudnud-maakuttega-a-energiatohususe-kl-3377209.html,"58.407848,26.7456725",189900,4,3,109.9 m²,2,2022,all brand-new,apartment ownership,,,,"new sewerage, open kitchen, ventilation, new electricity, parking free parking, closed courtyard, public transport, electricity, parquet, dressing room, box-room, separate rooms, street entrance, separate entryway, organisation through the few floors","sauna, shower, bath, toilet room and bathroom separate, urban water","heated floors, geothermic heating","Internet, steel door, fenced with garden",kitchen 9 m²,,A,,,near forest,,,
"Maisonette for sale, Vesneri, Tartu vald, Tartumaa - Real estate portal KV.EE ","Private ownership, log house, total area 100 m²",https://www.kv.ee/tartu-kesklinnast-vaid-10-km-kaugusel-olev-kinnist-3375308.html,"58.4324691,26.8606766",139900,3,,100 m²,2,1937,ready,private property,3822 m²,,Notify about incorrect advertisement,"new sewerage, balcony , separate entryway, public transport","water boiler, local water","stove heating, central heating",,kitchen furniture,79403:004:0294,,,,,,,
"Row house box for sale, 4 bedrooms, Tartu 40, Tõrva linn, Tõrva vald, Valgamaa - Real estate portal KV.EE ","Private ownership, stone house, total area 205.4 m²",https://www.kv.ee/ridaelamu-vaikses-ja-turvalises-elamurajoonis-muua-3389717.html,"58.0101338,25.9366387",145000,6,4,205.4 m²,3,1999,ready,private property,906 m²,,,"balcony , parquet, water, separate entryway, closed courtyard, separate rooms, parking free parking, electricity, basement, garage, furnishing possibility, furniture, roof asbestos cement roof","shower, toilet room and bathroom separate, sauna, washing machine, sewerage, urban water",central heating,"Internet, fenced with garden","stove heated with firewood, refridgerator, kitchen furniture",,,,,,,,
"Row house box for sale, Kaupmehe tn, Raadi-Kruusamäe, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, stone house, total area 103.9 m²",https://www.kv.ee/muua-hea-ehituskvaliteediga-okonoomne-vaga-heas-ko-3382707.html,"58.4051388,26.7438358",179900,3,,103.9 m²,2,2016,all brand-new,apartment ownership,,,,"balcony 6.1 m², parking free parking, electricity, packet windows, parquet, public transport, box-room, terrace","shower, toilet room and bathroom separate, bath, sauna, urban water, sewerage","central heating, heated floors, gas heating","Internet, cable TV, fenced with garden, steel door","induktsioon pliit, refridgerator, kitchen furniture",,-,ready,,"surrounding buildings private houses and apartment buildings, roads in good condition roads",,,
"Row house box for sale, 4 bedrooms, Liiva tee 15, Järveküla, Rae vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house, house area 116 m², total area 139 m²",https://www.kv.ee/paris-inimesed-paris-kodud-paris-elu-maaliliselt-k-3383721.html,"59.3729926,24.8096923",279900,5,4,139 m²,2,2023,all brand-new,apartment ownership,,Data from realestate book,Notify about incorrect advertisement,"packet windows, electricity, parquet, box-room, terrace","sauna, shower, bath, urban water, sewerage, washing machine","heated floors, õhksoojuspump","Internet, phone, cable TV, neighbourhood watch, fenced with garden",electric stove,,,ready,,"neighbours around neighbours, near forest, surrounding buildings private houses and apartment buildings, location outside settlement location, roads in good condition roads, Ülemiste järv lake",,,
"Maisonette for sale, 3 bedrooms, Iirise 12, Ihaste, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, panel house, total area 100 m²",https://www.kv.ee/maakuttega-ridaelamud-uues-valmivas-elurajoonis-ta-3391582.html,"58.355973056081,26.765833354956",177900,4,3,100 m²,2,2022,all brand-new,apartment ownership,,,Notify about incorrect advertisement,"new sewerage, open kitchen, electricity, parquet, dressing room, ventilation, public transport, box-room, wall cupboard, separate rooms, separate entryway, new electricity, farm building, roof tar paper roof","sauna, shower, toilet room and bathroom separate, urban water","heated floors, geothermic heating","Internet, phone, cable TV",,79301:001:0984,,,,"water body river near, near forest",,,
"Maisonette for sale, Aasamäe 9, Ääsmäe, Saue vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, total area 102.3 m²",https://www.kv.ee/kodu-millest-ei-puudu-rohelus-ja-linnalahedus-suur-3372542.html,"59.2413548,24.4894244",215000,4,,102.3 m²,2,2020,ready,apartment ownership,200 m²,,Notify about incorrect advertisement,"new sewerage, balcony , water, new electricity, separate rooms, parking free parking, parquet, furnishing possibility, electricity, roof tiled roof","bath, shower, sauna",geothermic heating,"Internet, steel door, neighbourhood watch",kitchen furniture,,,,17336750,water body lake near,,,
"Maisonette for sale, 3 bedrooms, Aeru 12, Ülejõe, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, stone house, total area 123.8 m²",https://www.kv.ee/uus-hind-274-000-vana-hind-285-000-ainulaadne-kodu-3392053.html,"58.403446,26.705427",274000,4,3,123.8 m²,2,2019,all brand-new,apartment ownership,,,Notify about incorrect advertisement,"new sewerage, balcony , balcony 12.9 m², open kitchen, new electricity, organisation through the few floors, separate entryway, closed courtyard, separate rooms, terrace, water, street entrance, show case windows, parquet, electricity, parking free parking, public transport, wall cupboard, dressing room, furnishing possibility, furniture, roof tar paper roof","bath, sauna, shower, toilet room and bathroom separate, sewerage, washing machine, urban water","heated floors, central heating","Internet, phone, cable TV, fenced with garden","ceramic shove, refridgerator, kitchen furniture",79501:002:0178,,,,"in the city location, surrounding buildings private houses, water body river near",,,
"Maisonette for sale, Kogre 18, Maardu, Harjumaa - Real estate portal KV.EE ","Apartment ownership, wooden house, house area 86.6 m², total area 86.6 m²",https://www.kv.ee/muua-majaosa-kaksikelamus-elamu-valisseinad-on-pui-3114049.html,"59.4437235,24.9718686",155000,4,,86.6 m²,2,2002,Good condition,apartment ownership,1066 m²,Data from realestate book,Notify about incorrect advertisement,"parking free parking, deep well, electricity, 3*380V, furnishing possibility, packet windows, parquet, garage, public transport","shower, bath, toilet room and bathroom separate, sauna, water boiler, local water, sewerage, washing machine","heated floors, electric heating, stove heating, fireplace","Internet, phone, neighbourhood watch, steel door, fenced with garden","ceramic shove, kitchen 15.1 m², kitchen furniture",,,ready,,"Maardu lake 500 m, roads paved roads, surrounding buildings private houses, neighbours around neighbours",,,
"Row house box for sale, 3 bedrooms, Keskuse tee 7/2, Raadi-Kruusamäe, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, stone house, total area 116.9 m²",https://www.kv.ee/2022-aasta-jaanuarveebruar-valmib-uus-a-energiakla-3358788.html,"58.407848,26.7456725",187900,4,3,116.9 m²,2,2022,all brand-new,apartment ownership,,Data from realestate book,Notify about incorrect advertisement,"balcony 4 m², parquet, parking free parking, public transport, box-room, TV-set, terrace, electricity, packet windows","sauna, shower","heated floors, geothermic heating","Internet, phone, cable TV, security system",kitchen 10.4 m²,79601:001:0560,,,,"surrounding buildings private houses and apartment buildings, location in the center location, roads in good condition roads",,,
"Row house box for sale, 3 bedrooms, Kiviaia tee 3, Pirita, Tallinn, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house, total area 113.1 m²",https://www.kv.ee/ehitatavas-ridaelamus-on-kokku-6-boksi-suurusega-1-3375329.html,"59.464714,24.892725",452400,4,3,113.1 m²,2,2022,all brand-new,apartment ownership,299.5 m²,Data from realestate book,Notify about incorrect advertisement,"balcony 8.1 m², parquet, dressing room, packet windows, terrace, electricity","shower, sauna, bath, toilet room and bathroom separate, urban water, sewerage","gas heating, heated floors","Internet, phone, cable TV, steel door, neighbourhood watch",,,B,,,,,,
"Row house box for sale, 4 bedrooms, Liiva tee 15, Järveküla, Rae vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, stone house, house area 101 m², total area 118 m²",https://www.kv.ee/paris-inimesed-paris-kodud-paris-elu-maaliliselt-k-3383732.html,"59.3729926,24.8096923",249900,5,4,118 m²,2,2023,all brand-new,apartment ownership,,Data from realestate book,Notify about incorrect advertisement,"packet windows, electricity, parquet, box-room, terrace","sauna, shower, bath, urban water, sewerage, washing machine","heated floors, õhksoojuspump","Internet, phone, cable TV, neighbourhood watch, fenced with garden",electric stove,,,ready,,"neighbours around neighbours, near forest, surrounding buildings private houses and apartment buildings, location outside settlement location, roads in good condition roads, Ülemiste järv lake",,,
"Row house box for sale, Lehise tee 37, Haaslava, Kastre vald, Tartumaa - Real estate portal KV.EE ","Apartment ownership, stone house, total area 75.1 m²",https://www.kv.ee/muuki-tulid-uued-energiasaastlikud-ridaelamuboksid-3385216.html,"58.3261761,26.8060709",139900,4,,75.1 m²,2,2022,all brand-new,apartment ownership,,,,"terrace, packet windows, parking free parking","urban water, sewerage",õhksoojuspump,,,29101:001:1059,A,,,,,,
"Row house box for sale, 4 bedrooms, Vanatoa tee 5, Lähtse, Kiili vald, Harjumaa - Real estate portal KV.EE ","Apartment ownership, wooden house, total area 100.7 m²",https://www.kv.ee/rabarebase-aedlinn-on-terviklik-elukeskkond-kuhu-o-3374089.html,"59.292014,24.863741",245000,5,4,100.7 m²,2,2022,all brand-new,apartment ownership,300 m²,Data from realestate book,Notify about incorrect advertisement,"ventilation, water, roof tar paper roof","shower, toilet room and bathroom separate, urban water, sewerage",geothermic heating,steel door,electric stove,,,,,,,,
"Row house box for sale, 3 bedrooms, Pirnipuu pst 182, Maardu, Harjumaa - Real estate portal KV.EE ","Apartment ownership, panel house, total area 103.5 m²",https://www.kv.ee/muua-2-korruseline-ridaelamuboks-aadresil-pirnpuu-3389526.html,"59.4682167,24.9606249",237000,4,3,103.5 m²,2,2015,satisfactory,apartment ownership,,Data from realestate book,Notify about incorrect advertisement,"balcony 7 m², parking free parking, 3*380V, furnishing possibility, packet windows, parquet, public transport, wall cupboard, terrace, electricity, dressing room","toilet room and bathroom separate, water boiler, bath, urban water, sewerage","combined heating, fireplace","Internet, phone, cable TV, steel door, fenced with garden","electric stove, refridgerator, kitchen furniture",,,ready,,"neighbours next to neighbours, surrounding buildings private houses, roads in good condition roads",,80 € /  190 €,
"Maisonette for sale, 3 bedrooms, Katkuniidu tee 2, Metsakasti, Viimsi vald, Harjumaa - Real estate portal KV.EE ","Private ownership, wooden house, house area 99.8 m², total area 120 m²",https://www.kv.ee/majamuugile-on-tulnud-valguskullane-avara-planeeri-3370212.html,"59.4896649,24.9133484",198000,4,3,120 m²,2,2006,,private property,605 m²,Data from realestate book,Notify about incorrect advertisement,,"urban water, washing machine",,"Internet, phone, cable TV, neighbourhood watch, fenced with garden","electric stove, refridgerator, kitchen furniture",,-,ready,,"surrounding buildings private houses, location in the center location, roads in good condition roads, neighbours next to neighbours",,,"parking free parking, electricity, dressing room, furnishing possibility, packet windows, parquet, public transport, box-room, wall cupboard"
"Maisonette for sale, 3 bedrooms, Iirise 10, Ihaste, Tartu linn, Tartu, Tartumaa - Real estate portal KV.EE ","Apartment ownership, panel house, total area 98.2 m²",https://www.kv.ee/maakuttega-ridaelamud-uues-valmivas-elurajoonis-ta-3391583.html,"58.355837965126,26.765232540137",189000,4,3,98.2 m²,2,2022,all brand-new,apartment ownership,,,Notify about incorrect advertisement,"new sewerage, open kitchen, electricity, parquet, dressing room, ventilation, farm building, box-room, separate rooms, separate entryway, new electricity, public transport, parking free parking, roof tar paper roof","toilet room and bathroom separate, sauna, shower, urban water","heated floors, geothermic heating","Internet, phone, cable TV",,79301:001:0984,,,,near forest,,,
